instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,3.0000,0.7613,0.0003,0.2293,0.2263,0.0030
ETH-23MAY25-1400-P,1400.0000,3.0000,-0.2387,0.0003,0.0037,0.0037,0.0000
ETH-23MAY25-1600-C,1600.0000,3.0000,0.6926,0.0003,0.1283,0.1246,0.0037
ETH-23MAY25-1600-P,1600.0000,3.0000,-0.3074,0.0003,0.0130,0.0129,0.0001
ETH-23MAY25-1700-P,1700.0000,3.0000,-0.3412,0.0003,0.0263,0.0262,0.0001
ETH-23MAY25-1700-C,1700.0000,3.0000,0.6588,0.0003,0.0830,0.0824,0.0006
ETH-23MAY25-1750-P,1750.0000,3.0000,-0.3579,0.0003,0.0363,0.0365,-0.0002
ETH-23MAY25-1750-C,1750.0000,3.0000,0.6421,0.0003,0.0653,0.0648,0.0005
ETH-23MAY25-1800-P,1800.0000,3.0000,-0.3743,0.0003,0.0493,0.0495,-0.0002
ETH-23MAY25-1800-C,1800.0000,3.0000,0.6257,0.0003,0.0503,0.0501,0.0002
ETH-23MAY25-1850-P,1850.0000,3.0000,-0.3906,0.0003,0.0653,0.0653,-0.0000
ETH-23MAY25-1850-C,1850.0000,3.0000,0.6094,0.0003,0.0383,0.0381,0.0002
ETH-23MAY25-1900-P,1900.0000,3.0000,-0.4065,0.0003,0.0880,0.0836,0.0044
ETH-23MAY25-1900-C,1900.0000,3.0000,0.5935,0.0003,0.0288,0.0286,0.0002
ETH-23MAY25-1950-P,1950.0000,3.0000,-0.4222,0.0003,0.1128,0.1041,0.0087
ETH-23MAY25-1950-C,1950.0000,3.0000,0.5778,0.0003,0.0218,0.0214,0.0004
ETH-23MAY25-2000-P,2000.0000,3.0000,-0.4377,0.0003,0.1331,0.1264,0.0067
ETH-23MAY25-2000-C,2000.0000,3.0000,0.5623,0.0003,0.0163,0.016,0.0003
ETH-23MAY25-2100-C,2100.0000,3.0000,0.5323,0.0003,0.0093,0.009,0.0003
ETH-23MAY25-2100-P,2100.0000,3.0000,-0.4677,0.0003,0.1814,0.1749,0.0065
ETH-23MAY25-2200-C,2200.0000,3.0000,0.5036,0.0003,0.0053,0.0053,-0.0000
ETH-23MAY25-2200-P,2200.0000,3.0000,-0.4964,0.0003,0.2335,0.2267,0.0068
ETH-23MAY25-2400-P,2400.0000,3.0000,-0.5502,0.0003,0.4903,0.3346,0.1557
ETH-23MAY25-2400-C,2400.0000,3.0000,0.4498,0.0003,0.0021,0.0021,-0.0000
BTC-23MAY25-75000-C,75000.0000,3.0000,0.7501,0.0000,0.2227,0.2065,0.0162
BTC-23MAY25-75000-P,75000.0000,3.0000,-0.2499,0.0000,0.0014,0.0012,0.0002
BTC-23MAY25-80000-C,80000.0000,3.0000,0.7172,0.0000,0.1754,0.1546,0.0208
BTC-23MAY25-80000-P,80000.0000,3.0000,-0.2828,0.0000,0.0027,0.0023,0.0004
BTC-23MAY25-85000-P,85000.0000,3.0000,-0.3154,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-85000-C,85000.0000,3.0000,0.6845,0.0000,0.1301,0.1051,0.0250
BTC-23MAY25-88000-C,88000.0000,3.0000,0.6651,0.0000,0.1043,0.0782,0.0261
BTC-23MAY25-88000-P,88000.0000,3.0000,-0.3348,0.0000,0.0109,0.0107,0.0002
BTC-23MAY25-90000-P,90000.0000,3.0000,-0.3477,0.0000,0.0158,0.016,-0.0002
BTC-23MAY25-90000-C,90000.0000,3.0000,0.6523,0.0000,0.0876,0.0623,0.0253
BTC-23MAY25-91000-P,91000.0000,3.0000,-0.3540,0.0000,0.0194,0.0194,0.0000
BTC-23MAY25-91000-C,91000.0000,3.0000,0.6460,0.0000,0.0581,0.0551,0.0030
BTC-23MAY25-92000-C,92000.0000,3.0000,0.6397,0.0000,0.0494,0.0485,0.0009
BTC-23MAY25-92000-P,92000.0000,3.0000,-0.3604,0.0000,0.0235,0.0233,0.0002
BTC-23MAY25-93000-C,93000.0000,3.0000,0.6333,0.0000,0.0433,0.0424,0.0009
