instrument,strike,plain_mid,micro,vwap3,our_mark_px,deribit_mark_px,diff_plain_mid,diff_micro,diff_vwap3,diff_our_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,0.2135,0.2135,0.2149,0.2136,0.2137,-0.0002,-0.0002,0.0012,-0.0001,-0.0001
ETH-23MAY25-1400-P,1400.0000,0.0044,0.0044,0.0043,0.0044,0.0044,-0.0001,-0.0001,-0.0001,-0.0000,-0.0000
ETH-23MAY25-1600-C,1600.0000,0.1208,0.1207,0.1208,0.1209,0.1125,0.0082,0.0082,0.0083,0.0084,0.0084
ETH-23MAY25-1600-P,1600.0000,0.0162,0.0162,0.0159,0.0163,0.0161,0.0002,0.0002,-0.0002,0.0002,0.0002
ETH-23MAY25-1650-C,1650.0000,0.0908,0.0908,0.0891,0.0908,0.091,-0.0003,-0.0003,-0.0019,-0.0002,-0.0002
ETH-23MAY25-1650-P,1650.0000,0.0230,0.0230,0.0228,0.0230,0.0229,0.0001,0.0001,-0.0001,0.0001,0.0001
ETH-23MAY25-1700-C,1700.0000,0.0718,0.0718,0.0715,0.0718,0.0719,-0.0002,-0.0002,-0.0004,-0.0001,-0.0001
ETH-23MAY25-1700-P,1700.0000,0.0322,0.0322,0.0320,0.0323,0.032,0.0003,0.0003,-0.0000,0.0003,0.0003
ETH-23MAY25-1750-C,1750.0000,0.0558,0.0558,0.0555,0.0558,0.0557,0.0001,0.0001,-0.0002,0.0001,0.0001
ETH-23MAY25-1750-P,1750.0000,0.0442,0.0443,0.0441,0.0443,0.044,0.0003,0.0003,0.0001,0.0003,0.0003
ETH-23MAY25-1800-P,1800.0000,0.0592,0.0592,0.0593,0.0593,0.0586,0.0006,0.0007,0.0007,0.0007,0.0007
ETH-23MAY25-1800-C,1800.0000,0.0420,0.0420,0.0423,0.0420,0.042,0.0000,0.0000,0.0003,0.0000,0.0000
ETH-23MAY25-1850-P,1850.0000,0.0768,0.0768,0.0764,0.0768,0.0763,0.0004,0.0004,0.0001,0.0005,0.0005
ETH-23MAY25-1850-C,1850.0000,0.0315,0.0315,0.0317,0.0315,0.0315,0.0000,0.0000,0.0002,0.0000,0.0000
ETH-23MAY25-1900-C,1900.0000,0.0235,0.0235,0.0236,0.0235,0.0235,0.0000,0.0000,0.0001,0.0000,0.0000
ETH-23MAY25-1900-P,1900.0000,0.0980,0.0980,0.1011,0.0981,0.0965,0.0015,0.0015,0.0046,0.0016,0.0016
ETH-23MAY25-1950-C,1950.0000,0.0175,0.0175,0.0175,0.0175,0.0175,0.0000,-0.0000,0.0000,0.0000,0.0000
ETH-23MAY25-1950-P,1950.0000,0.1218,0.1218,0.1218,0.1226,0.1187,0.0030,0.0031,0.0031,0.0039,0.0039
ETH-23MAY25-2000-C,2000.0000,0.0128,0.0128,0.0129,0.0128,0.013,-0.0002,-0.0002,-0.0001,-0.0002,-0.0002
ETH-23MAY25-2000-P,2000.0000,0.1422,0.1423,0.1465,0.1426,0.1425,-0.0003,-0.0002,0.0040,0.0001,0.0001
ETH-23MAY25-2100-P,2100.0000,0.1935,0.1935,0.2010,0.1952,0.1934,0.0001,0.0001,0.0076,0.0018,0.0018
ETH-23MAY25-2100-C,2100.0000,0.0075,0.0075,0.0074,0.0075,0.0074,0.0001,0.0001,-0.0000,0.0001,0.0001
ETH-23MAY25-2200-C,2200.0000,0.0043,0.0043,0.0042,0.0043,0.0042,0.0001,0.0001,-0.0000,0.0001,0.0001
ETH-23MAY25-2200-P,2200.0000,0.2518,0.2517,0.2518,0.2567,0.2467,0.0051,0.0050,0.0051,0.0100,0.0100
ETH-23MAY25-2400-P,2400.0000,,,,0.5039,0.3571,,,,0.1468,0.1468
ETH-23MAY25-2400-C,2400.0000,0.0016,0.0016,0.0019,0.0016,0.0017,-0.0001,-0.0001,0.0002,-0.0001,-0.0001
BTC-23MAY25-75000-C,75000.0000,0.2062,0.2062,0.2062,0.2337,0.2059,0.0003,0.0003,0.0003,0.0278,0.0278
BTC-23MAY25-75000-P,75000.0000,0.0012,0.0012,0.0013,0.0013,0.0013,-0.0000,-0.0000,0.0000,-0.0000,-0.0000
BTC-23MAY25-80000-C,80000.0000,0.1542,0.1542,0.1542,0.1901,0.1542,0.0000,0.0000,0.0000,0.0359,0.0359
BTC-23MAY25-80000-P,80000.0000,0.0026,0.0025,0.0027,0.0026,0.0026,-0.0000,-0.0001,0.0001,-0.0000,-0.0000
BTC-23MAY25-85000-C,85000.0000,0.1055,0.1055,0.1055,0.1485,0.1048,0.0007,0.0007,0.0007,0.0437,0.0437
BTC-23MAY25-85000-P,85000.0000,0.0062,0.0063,0.0063,0.0063,0.0062,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-88000-C,88000.0000,0.0802,0.0802,0.0970,0.1006,0.078,0.0023,0.0023,0.0190,0.0226,0.0226
BTC-23MAY25-88000-P,88000.0000,0.0112,0.0113,0.0113,0.0113,0.0113,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
BTC-23MAY25-90000-C,90000.0000,0.0625,0.0625,0.0445,0.0634,0.062,0.0005,0.0005,-0.0175,0.0014,0.0014
BTC-23MAY25-90000-P,90000.0000,0.0165,0.0165,0.0165,0.0165,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000
BTC-23MAY25-91000-P,91000.0000,0.0200,0.0200,0.0200,0.0200,0.0199,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-91000-C,91000.0000,0.0550,0.0550,0.0549,0.0552,0.0548,0.0002,0.0002,0.0001,0.0004,0.0004
BTC-23MAY25-92000-C,92000.0000,0.0482,0.0483,0.0485,0.0484,0.0481,0.0002,0.0002,0.0004,0.0003,0.0003
BTC-23MAY25-92000-P,92000.0000,0.0238,0.0238,0.0239,0.0238,0.0238,-0.0001,-0.0000,0.0001,-0.0000,-0.0000
BTC-23MAY25-93000-C,93000.0000,0.0420,0.0420,0.0420,0.0421,0.042,0.0000,0.0000,0.0000,0.0001,0.0001
BTC-23MAY25-93000-P,93000.0000,0.0282,0.0282,0.0283,0.0283,0.0283,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
BTC-23MAY25-94000-C,94000.0000,0.0365,0.0365,0.0367,0.0366,0.0365,0.0000,0.0000,0.0002,0.0001,0.0001
BTC-23MAY25-94000-P,94000.0000,0.0335,0.0335,0.0334,0.0336,0.0333,0.0002,0.0002,0.0001,0.0003,0.0003
BTC-23MAY25-95000-C,95000.0000,0.0315,0.0315,0.0317,0.0315,0.0316,-0.0001,-0.0001,0.0001,-0.0001,-0.0001
BTC-23MAY25-95000-P,95000.0000,0.0390,0.0390,0.0391,0.0391,0.039,0.0000,0.0000,0.0001,0.0001,0.0001
BTC-23MAY25-96000-C,96000.0000,0.0270,0.0270,0.0271,0.0270,0.0271,-0.0001,-0.0001,0.0000,-0.0001,-0.0001
BTC-23MAY25-96000-P,96000.0000,0.0452,0.0453,0.0450,0.0454,0.0452,0.0001,0.0001,-0.0002,0.0002,0.0002
BTC-23MAY25-97000-P,97000.0000,0.0518,0.0518,0.0519,0.0519,0.0518,-0.0001,-0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-97000-C,97000.0000,0.0230,0.0230,0.0232,0.0230,0.0231,-0.0001,-0.0001,0.0001,-0.0001,-0.0001
BTC-23MAY25-98000-C,98000.0000,0.0198,0.0198,0.0198,0.0198,0.0197,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-98000-P,98000.0000,0.0588,0.0588,0.0581,0.0591,0.059,-0.0003,-0.0002,-0.0009,0.0001,0.0001
BTC-23MAY25-99000-P,99000.0000,0.0665,0.0665,0.0668,0.0669,0.0666,-0.0001,-0.0001,0.0002,0.0003,0.0003
BTC-23MAY25-99000-C,99000.0000,0.0168,0.0168,0.0169,0.0168,0.0167,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-100000-C,100000.0000,0.0142,0.0142,0.0144,0.0143,0.0142,0.0000,0.0000,0.0002,0.0001,0.0001
BTC-23MAY25-100000-P,100000.0000,0.0912,0.0912,0.1045,0.1126,0.0747,0.0165,0.0165,0.0298,0.0379,0.0379
BTC-23MAY25-101000-C,101000.0000,0.0120,0.0120,0.0122,0.0120,0.012,0.0000,0.0000,0.0002,0.0000,0.0000
BTC-23MAY25-101000-P,101000.0000,0.0880,0.0880,0.1076,0.1215,0.0832,0.0048,0.0048,0.0244,0.0383,0.0383
BTC-23MAY25-102000-C,102000.0000,0.0102,0.0102,0.0103,0.0103,0.0102,0.0000,0.0000,0.0001,0.0001,0.0001
BTC-23MAY25-102000-P,102000.0000,0.0960,0.0960,0.1159,0.1308,0.0919,0.0041,0.0041,0.0240,0.0389,0.0389
BTC-23MAY25-103000-P,103000.0000,0.1048,0.1048,0.0911,0.1509,0.101,0.0037,0.0037,-0.0099,0.0499,0.0499
BTC-23MAY25-103000-C,103000.0000,0.0088,0.0087,0.0088,0.0088,0.0086,0.0002,0.0001,0.0002,0.0002,0.0002
BTC-23MAY25-104000-P,104000.0000,0.1142,0.1142,0.1224,0.1452,0.1102,0.0040,0.0040,0.0122,0.0350,0.0350
BTC-23MAY25-104000-C,104000.0000,0.0072,0.0072,0.0075,0.0073,0.0073,-0.0001,-0.0001,0.0002,-0.0000,-0.0000
BTC-23MAY25-105000-P,105000.0000,0.1232,0.1233,0.1092,0.1717,0.1198,0.0034,0.0035,-0.0106,0.0519,0.0519
BTC-23MAY25-105000-C,105000.0000,0.0062,0.0063,0.0065,0.0063,0.0063,-0.0000,-0.0000,0.0002,-0.0000,-0.0000
BTC-23MAY25-106000-P,106000.0000,0.1327,0.1327,0.1327,0.1979,0.1295,0.0032,0.0032,0.0032,0.0684,0.0684
BTC-23MAY25-106000-C,106000.0000,0.0052,0.0052,0.0056,0.0053,0.0053,-0.0001,-0.0000,0.0003,-0.0000,-0.0000
BTC-23MAY25-108000-P,108000.0000,0.1528,0.1528,0.1528,0.2193,0.1493,0.0035,0.0035,0.0035,0.0700,0.0700
BTC-23MAY25-108000-C,108000.0000,0.0040,0.0040,0.0040,0.0040,0.0039,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-110000-C,110000.0000,0.0030,0.0030,0.0031,0.0030,0.0029,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-110000-P,110000.0000,0.1728,0.1727,0.1728,0.2397,0.1695,0.0033,0.0032,0.0033,0.0702,0.0702
BTC-23MAY25-115000-C,115000.0000,0.0016,0.0017,0.0015,0.0017,0.0015,0.0001,0.0002,0.0000,0.0002,0.0002
BTC-23MAY25-115000-P,115000.0000,0.2245,0.2245,0.2245,0.2905,0.2211,0.0034,0.0034,0.0034,0.0694,0.0694
BTC-23MAY25-120000-C,120000.0000,0.0009,0.0009,0.0010,0.0009,0.0008,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-120000-P,120000.0000,0.2768,0.2768,0.2768,0.3413,0.2735,0.0032,0.0032,0.0032,0.0678,0.0678
BTC-23MAY25-125000-C,125000.0000,0.0006,0.0006,0.0007,0.0006,0.0006,0.0000,0.0000,0.0001,0.0000,0.0000
BTC-23MAY25-125000-P,125000.0000,0.3293,0.3293,0.3293,0.3923,0.3262,0.0031,0.0031,0.0031,0.0661,0.0661
BTC-23MAY25-130000-C,130000.0000,0.0004,0.0004,0.0005,0.0005,0.0004,0.0000,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-130000-P,130000.0000,0.3825,0.3825,0.3989,0.4299,0.3791,0.0034,0.0034,0.0198,0.0508,0.0508
BTC-23MAY25-135000-C,135000.0000,0.0004,0.0004,0.0004,0.0004,0.0003,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-135000-P,135000.0000,,,,0.5656,0.432,,,,0.1336,0.1336
