instrument,strike,plain_mid,micro,vwap3,our_mark_px,deribit_mark_px,diff_plain_mid,diff_micro,diff_vwap3,diff_our_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,0.2135,0.2135,0.2149,0.2136,0.2136,-0.0001,-0.0001,0.0013,-0.0000,-0.0000
ETH-23MAY25-1400-P,1400.0000,0.0044,0.0044,0.0043,0.0044,0.0044,-0.0001,-0.0001,-0.0001,-0.0000,-0.0000
ETH-23MAY25-1600-C,1600.0000,0.1208,0.1208,0.1207,0.1209,0.1123,0.0084,0.0085,0.0084,0.0086,0.0086
ETH-23MAY25-1600-P,1600.0000,0.0162,0.0162,0.0159,0.0163,0.0162,0.0001,0.0001,-0.0003,0.0001,0.0001
ETH-23MAY25-1650-C,1650.0000,0.0908,0.0908,0.0973,0.0908,0.0909,-0.0001,-0.0001,0.0064,-0.0001,-0.0001
ETH-23MAY25-1650-P,1650.0000,0.0230,0.0230,0.0228,0.0230,0.0229,0.0001,0.0001,-0.0001,0.0001,0.0001
ETH-23MAY25-1700-C,1700.0000,0.0718,0.0718,0.0715,0.0718,0.0718,-0.0001,-0.0001,-0.0003,-0.0000,-0.0000
ETH-23MAY25-1700-P,1700.0000,0.0322,0.0322,0.0321,0.0323,0.0321,0.0002,0.0002,-0.0000,0.0002,0.0002
ETH-23MAY25-1750-C,1750.0000,0.0558,0.0558,0.0555,0.0558,0.0556,0.0002,0.0002,-0.0001,0.0002,0.0002
ETH-23MAY25-1750-P,1750.0000,0.0442,0.0443,0.0441,0.0443,0.0441,0.0001,0.0002,-0.0000,0.0002,0.0002
ETH-23MAY25-1800-P,1800.0000,0.0592,0.0592,0.0593,0.0593,0.0587,0.0005,0.0006,0.0006,0.0006,0.0006
ETH-23MAY25-1800-C,1800.0000,0.0420,0.0420,0.0423,0.0420,0.042,0.0000,0.0000,0.0003,0.0000,0.0000
ETH-23MAY25-1850-P,1850.0000,0.0768,0.0768,0.0764,0.0768,0.0764,0.0004,0.0004,-0.0000,0.0004,0.0004
ETH-23MAY25-1850-C,1850.0000,0.0315,0.0315,0.0317,0.0315,0.0314,0.0001,0.0001,0.0003,0.0001,0.0001
ETH-23MAY25-1900-C,1900.0000,0.0235,0.0235,0.0237,0.0235,0.0234,0.0001,0.0001,0.0003,0.0001,0.0001
ETH-23MAY25-1900-P,1900.0000,0.0980,0.0980,0.1009,0.0981,0.0967,0.0013,0.0013,0.0042,0.0014,0.0014
ETH-23MAY25-1950-C,1950.0000,0.0175,0.0175,0.0175,0.0175,0.0174,0.0001,0.0001,0.0001,0.0001,0.0001
ETH-23MAY25-1950-P,1950.0000,0.1218,0.1218,0.1218,0.1226,0.1189,0.0028,0.0029,0.0029,0.0037,0.0037
ETH-23MAY25-2000-C,2000.0000,0.0128,0.0128,0.0129,0.0128,0.0129,-0.0001,-0.0001,0.0000,-0.0001,-0.0001
ETH-23MAY25-2000-P,2000.0000,0.1420,0.1420,0.1463,0.1424,0.1427,-0.0007,-0.0007,0.0036,-0.0003,-0.0003
ETH-23MAY25-2100-P,2100.0000,0.1935,0.1935,0.1935,0.1956,0.1937,-0.0002,-0.0002,-0.0002,0.0019,0.0019
ETH-23MAY25-2100-C,2100.0000,0.0075,0.0075,0.0074,0.0075,0.0074,0.0001,0.0001,-0.0000,0.0001,0.0001
ETH-23MAY25-2200-C,2200.0000,0.0043,0.0043,0.0042,0.0043,0.0042,0.0001,0.0001,-0.0000,0.0001,0.0001
ETH-23MAY25-2200-P,2200.0000,0.2518,0.2517,0.2518,0.2567,0.247,0.0048,0.0047,0.0048,0.0097,0.0097
ETH-23MAY25-2400-P,2400.0000,,,,0.5041,0.3574,,,,0.1467,0.1467
ETH-23MAY25-2400-C,2400.0000,0.0016,0.0016,0.0019,0.0016,0.0017,-0.0001,-0.0001,0.0002,-0.0001,-0.0001
BTC-23MAY25-75000-C,75000.0000,0.2062,0.2062,0.2062,0.2337,0.2058,0.0004,0.0004,0.0004,0.0279,0.0279
BTC-23MAY25-75000-P,75000.0000,0.0012,0.0012,0.0013,0.0013,0.0013,-0.0000,-0.0000,0.0000,-0.0000,-0.0000
BTC-23MAY25-80000-C,80000.0000,0.1542,0.1542,0.1542,0.1901,0.154,0.0003,0.0003,0.0003,0.0361,0.0361
BTC-23MAY25-80000-P,80000.0000,0.0026,0.0025,0.0027,0.0026,0.0026,-0.0000,-0.0001,0.0001,-0.0000,-0.0000
BTC-23MAY25-85000-C,85000.0000,0.1055,0.1055,0.1055,0.1485,0.1047,0.0008,0.0008,0.0008,0.0438,0.0438
BTC-23MAY25-85000-P,85000.0000,0.0062,0.0063,0.0063,0.0063,0.0062,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-88000-C,88000.0000,0.0802,0.0802,0.0972,0.1004,0.0779,0.0024,0.0024,0.0193,0.0225,0.0225
BTC-23MAY25-88000-P,88000.0000,0.0112,0.0113,0.0112,0.0113,0.0113,-0.0000,-0.0000,-0.0001,-0.0000,-0.0000
BTC-23MAY25-90000-C,90000.0000,0.0625,0.0625,0.0445,0.0634,0.0619,0.0006,0.0006,-0.0174,0.0015,0.0015
BTC-23MAY25-90000-P,90000.0000,0.0165,0.0165,0.0165,0.0165,0.0165,0.0000,0.0000,0.0000,0.0000,0.0000
BTC-23MAY25-91000-P,91000.0000,0.0200,0.0200,0.0200,0.0200,0.0199,0.0001,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-91000-C,91000.0000,0.0550,0.0550,0.0550,0.0553,0.0547,0.0003,0.0003,0.0003,0.0006,0.0006
BTC-23MAY25-92000-C,92000.0000,0.0482,0.0483,0.0485,0.0484,0.048,0.0003,0.0003,0.0005,0.0004,0.0004
BTC-23MAY25-92000-P,92000.0000,0.0238,0.0238,0.0239,0.0238,0.0238,-0.0001,-0.0000,0.0001,-0.0000,-0.0000
BTC-23MAY25-93000-C,93000.0000,0.0420,0.0420,0.0421,0.0421,0.0419,0.0001,0.0001,0.0002,0.0002,0.0002
BTC-23MAY25-93000-P,93000.0000,0.0282,0.0282,0.0284,0.0283,0.0283,-0.0000,-0.0000,0.0001,-0.0000,-0.0000
BTC-23MAY25-94000-C,94000.0000,0.0365,0.0365,0.0367,0.0366,0.0364,0.0001,0.0001,0.0003,0.0002,0.0002
BTC-23MAY25-94000-P,94000.0000,0.0335,0.0335,0.0334,0.0336,0.0334,0.0001,0.0001,-0.0000,0.0002,0.0002
BTC-23MAY25-95000-C,95000.0000,0.0315,0.0315,0.0317,0.0315,0.0315,0.0000,0.0000,0.0002,0.0000,0.0000
BTC-23MAY25-95000-P,95000.0000,0.0390,0.0390,0.0391,0.0391,0.0391,-0.0001,-0.0001,0.0000,0.0000,0.0000
BTC-23MAY25-96000-C,96000.0000,0.0270,0.0270,0.0271,0.0270,0.027,0.0000,0.0000,0.0001,0.0000,0.0000
BTC-23MAY25-96000-P,96000.0000,0.0452,0.0453,0.0451,0.0454,0.0453,-0.0001,-0.0000,-0.0002,0.0001,0.0001
BTC-23MAY25-97000-P,97000.0000,0.0518,0.0518,0.0519,0.0519,0.0519,-0.0002,-0.0002,-0.0000,-0.0000,-0.0000
BTC-23MAY25-97000-C,97000.0000,0.0230,0.0230,0.0232,0.0230,0.0231,-0.0001,-0.0001,0.0001,-0.0001,-0.0001
BTC-23MAY25-98000-C,98000.0000,0.0198,0.0198,0.0198,0.0198,0.0196,0.0002,0.0002,0.0002,0.0002,0.0002
BTC-23MAY25-98000-P,98000.0000,0.0588,0.0588,0.0587,0.0591,0.0592,-0.0005,-0.0004,-0.0005,-0.0001,-0.0001
BTC-23MAY25-99000-P,99000.0000,0.0665,0.0665,0.0668,0.0669,0.0668,-0.0003,-0.0003,-0.0000,0.0001,0.0001
BTC-23MAY25-99000-C,99000.0000,0.0168,0.0168,0.0169,0.0168,0.0167,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-100000-C,100000.0000,0.0142,0.0142,0.0144,0.0143,0.0141,0.0002,0.0002,0.0003,0.0002,0.0002
BTC-23MAY25-100000-P,100000.0000,0.0912,0.0912,0.1047,0.1123,0.0748,0.0164,0.0164,0.0299,0.0375,0.0375
BTC-23MAY25-101000-C,101000.0000,0.0120,0.0120,0.0122,0.0120,0.012,0.0000,0.0000,0.0002,0.0000,0.0000
BTC-23MAY25-101000-P,101000.0000,0.0880,0.0880,0.1079,0.1211,0.0833,0.0047,0.0047,0.0246,0.0378,0.0378
BTC-23MAY25-102000-C,102000.0000,0.0102,0.0102,0.0103,0.0103,0.0102,0.0000,0.0000,0.0001,0.0001,0.0001
BTC-23MAY25-102000-P,102000.0000,0.0960,0.0960,0.1162,0.1304,0.092,0.0040,0.0040,0.0242,0.0384,0.0384
BTC-23MAY25-103000-P,103000.0000,0.1048,0.1048,0.0911,0.1509,0.1011,0.0037,0.0037,-0.0100,0.0498,0.0498
BTC-23MAY25-103000-C,103000.0000,0.0088,0.0087,0.0088,0.0088,0.0086,0.0002,0.0001,0.0002,0.0002,0.0002
BTC-23MAY25-104000-P,104000.0000,0.1142,0.1142,0.1229,0.1448,0.1104,0.0038,0.0039,0.0125,0.0344,0.0344
BTC-23MAY25-104000-C,104000.0000,0.0072,0.0072,0.0075,0.0073,0.0073,-0.0001,-0.0001,0.0002,-0.0000,-0.0000
BTC-23MAY25-105000-P,105000.0000,0.1232,0.1233,0.1092,0.1717,0.12,0.0033,0.0033,-0.0107,0.0517,0.0517
BTC-23MAY25-105000-C,105000.0000,0.0062,0.0063,0.0065,0.0063,0.0063,-0.0000,-0.0000,0.0002,-0.0000,-0.0000
BTC-23MAY25-106000-P,106000.0000,0.1327,0.1327,0.1327,0.1980,0.1297,0.0030,0.0030,0.0030,0.0683,0.0683
BTC-23MAY25-106000-C,106000.0000,0.0052,0.0052,0.0056,0.0053,0.0053,-0.0001,-0.0000,0.0003,-0.0000,-0.0000
BTC-23MAY25-108000-P,108000.0000,0.1528,0.1528,0.1528,0.2193,0.1494,0.0033,0.0034,0.0034,0.0699,0.0699
BTC-23MAY25-108000-C,108000.0000,0.0040,0.0040,0.0041,0.0040,0.0039,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-110000-C,110000.0000,0.0030,0.0030,0.0032,0.0030,0.0029,0.0001,0.0001,0.0003,0.0001,0.0001
BTC-23MAY25-110000-P,110000.0000,0.1728,0.1727,0.1728,0.2397,0.1696,0.0032,0.0031,0.0032,0.0701,0.0701
BTC-23MAY25-115000-C,115000.0000,0.0016,0.0017,0.0015,0.0017,0.0015,0.0001,0.0002,0.0000,0.0002,0.0002
BTC-23MAY25-115000-P,115000.0000,0.2245,0.2245,0.2245,0.2905,0.2213,0.0032,0.0032,0.0032,0.0692,0.0692
BTC-23MAY25-120000-C,120000.0000,0.0009,0.0009,0.0010,0.0009,0.0008,0.0001,0.0001,0.0002,0.0001,0.0001
BTC-23MAY25-120000-P,120000.0000,0.2768,0.2768,0.2768,0.3413,0.2736,0.0031,0.0031,0.0031,0.0677,0.0677
BTC-23MAY25-125000-C,125000.0000,0.0006,0.0006,0.0007,0.0006,0.0006,0.0000,0.0000,0.0001,0.0000,0.0000
BTC-23MAY25-125000-P,125000.0000,0.3293,0.3293,0.3293,0.3923,0.3264,0.0029,0.0029,0.0029,0.0659,0.0659
BTC-23MAY25-130000-C,130000.0000,0.0004,0.0004,0.0005,0.0005,0.0004,0.0000,0.0001,0.0001,0.0001,0.0001
BTC-23MAY25-130000-P,130000.0000,0.3825,0.3825,0.3989,0.4300,0.3793,0.0032,0.0032,0.0196,0.0507,0.0507
