instrument,strike,plain_mid,micro,vwap3,our_mark_px,deribit_mark_px,diff_plain_mid,diff_micro,diff_vwap3,diff_our_mark_px,diff
ETH-23MAY25-1400-C,1400.0000,0.2130,0.2130,0.2145,0.2131,0.2136,-0.0006,-0.0006,0.0009,-0.0005,-0.0005
ETH-23MAY25-1400-P,1400.0000,0.0044,0.0044,0.0043,0.0044,0.0044,-0.0001,-0.0001,-0.0001,-0.0000,-0.0000
ETH-23MAY25-1600-C,1600.0000,0.1202,0.1202,0.1202,0.1207,0.1123,0.0079,0.0079,0.0079,0.0084,0.0084
ETH-23MAY25-1600-P,1600.0000,0.0162,0.0162,0.0159,0.0163,0.0161,0.0002,0.0002,-0.0002,0.0002,0.0002
ETH-23MAY25-1650-C,1650.0000,0.0905,0.0905,0.0933,0.0906,0.0909,-0.0004,-0.0004,0.0024,-0.0003,-0.0003
ETH-23MAY25-1650-P,1650.0000,0.0230,0.0230,0.0228,0.0230,0.023,0.0000,0.0000,-0.0002,0.0000,0.0000
ETH-23MAY25-1700-C,1700.0000,0.0715,0.0715,0.0723,0.0715,0.0718,-0.0003,-0.0003,0.0005,-0.0003,-0.0003
ETH-23MAY25-1700-P,1700.0000,0.0322,0.0322,0.0322,0.0323,0.0321,0.0002,0.0002,0.0001,0.0002,0.0002
ETH-23MAY25-1750-C,1750.0000,0.0558,0.0558,0.0554,0.0558,0.0556,0.0002,0.0002,-0.0002,0.0002,0.0002
ETH-23MAY25-1750-P,1750.0000,0.0442,0.0443,0.0441,0.0443,0.0441,0.0001,0.0002,-0.0000,0.0002,0.0002
ETH-23MAY25-1800-P,1800.0000,0.0592,0.0592,0.0590,0.0593,0.0587,0.0005,0.0006,0.0003,0.0006,0.0006
ETH-23MAY25-1800-C,1800.0000,0.0420,0.0420,0.0422,0.0420,0.0419,0.0001,0.0001,0.0003,0.0001,0.0001
ETH-23MAY25-1850-P,1850.0000,0.0768,0.0768,0.0769,0.0768,0.0764,0.0004,0.0004,0.0005,0.0004,0.0004
ETH-23MAY25-1850-C,1850.0000,0.0315,0.0315,0.0317,0.0315,0.0314,0.0001,0.0001,0.0003,0.0001,0.0001
ETH-23MAY25-1900-C,1900.0000,0.0235,0.0235,0.0236,0.0235,0.0234,0.0001,0.0001,0.0002,0.0001,0.0001
ETH-23MAY25-1900-P,1900.0000,0.0980,0.0980,0.1007,0.0981,0.0967,0.0013,0.0013,0.0040,0.0014,0.0014
ETH-23MAY25-1950-C,1950.0000,0.0175,0.0175,0.0175,0.0175,0.0174,0.0001,0.0001,0.0001,0.0001,0.0001
ETH-23MAY25-1950-P,1950.0000,0.1218,0.1218,0.1218,0.1226,0.1189,0.0028,0.0029,0.0029,0.0037,0.0037
ETH-23MAY25-2000-C,2000.0000,0.0128,0.0128,0.0129,0.0128,0.013,-0.0002,-0.0002,-0.0001,-0.0002,-0.0002
ETH-23MAY25-2000-P,2000.0000,0.1405,0.1405,0.1451,0.1413,0.1427,-0.0022,-0.0022,0.0024,-0.0014,-0.0014
ETH-23MAY25-2100-P,2100.0000,0.1935,0.1935,0.1935,0.1956,0.1936,-0.0001,-0.0001,-0.0001,0.0020,0.0020
ETH-23MAY25-2100-C,2100.0000,0.0075,0.0075,0.0074,0.0075,0.0074,0.0001,0.0001,-0.0000,0.0001,0.0001
ETH-23MAY25-2200-C,2200.0000,0.0043,0.0043,0.0042,0.0043,0.0042,0.0001,0.0001,-0.0000,0.0001,0.0001
ETH-23MAY25-2200-P,2200.0000,0.2518,0.2517,0.2518,0.2567,0.247,0.0048,0.0047,0.0048,0.0097,0.0097
ETH-23MAY25-2400-P,2400.0000,,,,0.5041,0.3574,,,,0.1467,0.1467
ETH-23MAY25-2400-C,2400.0000,0.0016,0.0016,0.0019,0.0016,0.0017,-0.0001,-0.0001,0.0002,-0.0001,-0.0001
BTC-23MAY25-75000-C,75000.0000,0.2062,0.2062,0.2062,0.2337,0.2057,0.0005,0.0005,0.0005,0.0280,0.0280
